"voter_id" "present" "absent" "attendance"
"237" 759 1051 0.419337016574586
"252" 529 1281 0.292265193370166
"303" 1422 388 0.785635359116022
"305" 1526 284 0.843093922651934
"309" 1541 269 0.851381215469613
"312" 1288 522 0.711602209944751
"346" 1112 698 0.614364640883978
"354" 1480 330 0.81767955801105
"377" 990 820 0.546961325966851
"392" 1471 339 0.812707182320442
"4" 1191 619 0.658011049723757
"401" 1380 430 0.762430939226519
"422" 1337 473 0.738674033149171
"443" 878 932 0.485082872928177
"467" 1412 398 0.780110497237569
"4778" 1675 135 0.925414364640884
"5261" 1650 160 0.911602209944751
"5268" 1646 164 0.90939226519337
"5269" 926 884 0.511602209944751
"5272" 1537 273 0.849171270718232
"5273" 259 543 0.322942643391521
"5279" 1381 429 0.762983425414365
"5282" 1657 153 0.915469613259668
"5290" 1523 287 0.841436464088398
"5297" 246 172 0.588516746411483
"5307" 1674 136 0.924861878453039
"5310" 1296 514 0.716022099447514
"5313" 1664 146 0.919337016574586
"5314" 1516 294 0.837569060773481
"5321" 593 209 0.739401496259352
"5322" 1611 199 0.890055248618784
"5342" 1478 332 0.816574585635359
"5402" 985 825 0.544198895027624
"5433" 1411 399 0.779558011049724
"5447" 1132 313 0.783391003460208
"5456" 1448 362 0.8
"5459" 1424 386 0.786740331491713
"5461" 1499 311 0.82817679558011
"5462" 1006 804 0.555801104972376
"5476" 1594 216 0.880662983425414
"5487" 1762 48 0.973480662983425
"5490" 1440 370 0.795580110497238
"5502" 1632 178 0.901657458563536
"5506" 1720 90 0.950276243093923
"5507" 1245 565 0.687845303867403
"5513" 1676 134 0.925966850828729
"5520" 775 233 0.768849206349206
"5558" 467 1343 0.258011049723757
"5700" 971 839 0.53646408839779
"5718" 1089 721 0.601657458563536
"5768" 742 1068 0.409944751381215
"5844" 1429 381 0.789502762430939
"5866" 1599 211 0.883425414364641
"5891" 1305 505 0.720994475138122
"5897" 1557 253 0.860220994475138
"5903" 1151 659 0.635911602209945
"5909" 1264 546 0.698342541436464
"5911" 1429 381 0.789502762430939
"5914" 1380 430 0.762430939226519
"5917" 1497 313 0.82707182320442
"5918" 1312 498 0.724861878453039
"5919" 1481 329 0.818232044198895
"5920" 1540 270 0.850828729281768
"5921" 1294 516 0.714917127071823
"5922" 1366 444 0.754696132596685
"5926" 1611 199 0.890055248618784
"5933" 671 1139 0.370718232044199
"5934" 1718 92 0.949171270718232
"5938" 1675 135 0.925414364640884
"5939" 1131 679 0.624861878453039
"5940" 1073 737 0.592817679558011
"5943" 1076 734 0.594475138121547
"5948" 1155 655 0.638121546961326
"5955" 1340 470 0.740331491712707
"5956" 359 443 0.447630922693267
"5957" 1480 330 0.81767955801105
"5960" 1395 415 0.770718232044199
"5962" 1634 176 0.902762430939226
"5964" 1481 329 0.818232044198895
"5965" 1731 79 0.956353591160221
"5969" 1613 197 0.891160220994475
"5975" 1444 366 0.797790055248619
"5979" 1561 249 0.862430939226519
"5980" 1567 243 0.865745856353591
"5987" 1231 579 0.680110497237569
"5989" 1640 170 0.906077348066298
"5990" 1675 135 0.925414364640884
