"normals.1" "normals.2" "parameters.Parameter" "parameters.Loss" "parameters.Direction" "loss_function.Parameter1" "loss_function.Loss1" "loss_function.Parameter_1" "loss_function.Loss_1" "weights.w1" "weights.w2"
"event_21055-1397606400_0" 2.67732719365326 -1.08235772560286 9.15663136846522 106.931863567888 1 9.15663136846522 106.931863567888 -3.43752674693519 233.053036151244 1 0.158878504672897
"event_21055-1397606400_2" 0.250977036995108 -0.395213838587786 -0.394632502147245 6.08402976741714 -1 2.57004046050511 11.3264006975242 -0.394632502147245 6.08402976741714 0.94392523364486 0.0495049504950495
"event_21177-1399680000_0" 3.67055903582889 -1.03074629350885 7.66214244206836 5.80424974185347 1 7.66214244206836 5.80424974185347 -4.68914529239242 396.036222061349 0.901869158878505 0.134715025906736
"event_21177-1399680000_1" 1.8086445350223 -0.592602944647077 6.85274013479632 32.6144928216389 1 6.85274013479632 32.6144928216389 -2.31948316262109 99.3941851888141 0.88785046728972 0.0842105263157895
"event_21177-1399680000_10" 4.80225677409542 2.1936352249698 1.70047208841999 13.263778538003 1 1.70047208841999 13.263778538003 -5.84615069406052 728.444509232964 0.892523364485981 0.219895287958115
"event_21177-1399680000_11" 4.77698948559941 2.15345473339587 1.86999098128222 12.7567484315552 1 1.86999098128222 12.7567484315552 -5.82185940703794 716.627168409491 0.892523364485981 0.209424083769634
"event_21177-1399680000_12" 4.99161155629759 2.20904520729659 2.33143482129026 15.8018820179102 1 2.33143482129026 15.8018820179102 -6.0868106134088 779.061814825798 0.892523364485981 0.209424083769634
"event_21177-1399680000_13" 1.62827294293504 1.85045031031514 14.0037243643577 52.5088611295343 1 14.0037243643577 52.5088611295343 -1.94808093882559 127.062796681716 0.892523364485981 0.104712041884817
"event_21177-1399680000_14" 4.09089802525612 2.27690997958928 18.662473436765 66.1188775236237 1 18.662473436765 66.1188775236237 -4.96784140600707 552.636912386196 0.892523364485981 0.178010471204188
"event_21177-1399680000_15" 1.62044981350993 2.02817995295697 14.3720733138747 48.4000761743007 1 14.3720733138747 48.4000761743007 -1.97201243287157 134.491221653788 0.901869158878505 0.103626943005181
