"voter_id" "present" "absent" "attendance"
"54d2a437273a394ad5db928f" 2287 85 0.964165261382799
"54d2a438273a394ad5db9295" 2316 56 0.976391231028668
"54d2a443273a394ad5db92ff" 1924 448 0.811129848229342
"54d2a447273a394ad5db9321" 2334 35 0.985225833685099
"54d2a44e273a394ad5db936b" 2324 48 0.979763912310287
"54d2a46c273a394ad5db948d" 2315 57 0.975969645868465
"54d2a479273a394ad5db9502" 2311 61 0.974283305227656
"54d2a47c273a394ad5db951f" 1336 1036 0.563237774030354
"54d2a4a7273a394ad5db97b3" 779 424 0.647547797173732
"54d2a4bb273a394ad5db9822" 2109 263 0.889123102866779
"54d2a4c1273a394ad5db982a" 2337 35 0.985244519392917
"54d2a4c4273a394ad5db9830" 2327 45 0.981028667790894
"54d2a4ce273a394ad5db9844" 2321 51 0.97849915682968
"54d2a4d3273a394ad5db984e" 2059 313 0.868043844856661
"54d2a4f2273a394ad5db9886" 2304 68 0.971332209106239
"54d2a4f6273a394ad5db988e" 2250 122 0.948566610455312
"54d2a508273a394ad5db98b6" 691 30 0.958391123439667
"54d2a50f273a394ad5db98c0" 2251 121 0.948988195615514
"54d2a516273a394ad5db98d2" 1971 401 0.830944350758853
"54d2a522273a394ad5db98e6" 2043 329 0.861298482293423
"54d2a523273a394ad5db98e8" 1847 525 0.778667790893761
"54d2a562273a394ad5dba028" 2232 140 0.94097807757167
"54d2a567273a394ad5dba034" 2328 44 0.981450252951096
"54d2a567273a394ad5dba036" 2155 217 0.908516020236088
"54d2a56e273a394ad5dba044" 1971 401 0.830944350758853
"54d2a572273a394ad5dba04c" 2177 195 0.91779089376054
"54d2a574273a394ad5dba04e" 2187 185 0.922006745362563
"54d2a577273a394ad5dba050" 2123 249 0.895025295109612
"54d2a579273a394ad5dba054" 2055 317 0.866357504215852
"54d2a57d273a394ad5dba05e" 2120 252 0.893760539629005
"54d2a580273a394ad5dba060" 2228 144 0.93929173693086
"54d2a581273a394ad5dba062" 2286 86 0.963743676222597
"54d2a58b273a394ad5dba074" 2295 77 0.967537942664418
"54d2a592273a394ad5dba082" 2275 97 0.959106239460371
"54d2a596273a394ad5dba08a" 1887 485 0.795531197301855
"54d2a59b273a394ad5dba094" 2141 231 0.902613827993255
"54d2a59f273a394ad5dba09a" 2296 76 0.967959527824621
"54d2a5a3273a394ad5dba0a0" 2219 153 0.935497470489039
"54d2a5a5273a394ad5dba0a8" 2016 356 0.849915682967959
"54d2a5ae273a394ad5dba0b6" 1628 744 0.686340640809443
"54d2a5b0273a394ad5dba0bc" 2307 65 0.972596964586847
"54d2a5b3273a394ad5dba0c4" 2091 281 0.881534569983137
"54d2a5b8273a394ad5dba0cc" 2331 41 0.982715008431703
"54d2a5bd273a394ad5dba0d6" 2142 230 0.903035413153457
"54d2a5c2273a394ad5dba0de" 2341 31 0.986930860033727
"54d2a5cf273a394ad5dba0ee" 2350 19 0.991979738286197
"54d2a5d0273a394ad5dba0f0" 2299 70 0.970451667370198
"54d2a5d3273a394ad5dba0f6" 2112 260 0.890387858347386
"54d2a5d4273a394ad5dba0f8" 2140 232 0.902192242833052
"54d2a5d6273a394ad5dba0fc" 2157 215 0.909359190556492
"54d2a5d8273a394ad5dba100" 2136 236 0.900505902192243
"54d2a645273a394ad5dbac9e" 2228 144 0.93929173693086
"54d2a650273a394ad5dbacac" 2329 43 0.981871838111299
"54d2a656273a394ad5dbacb4" 2154 218 0.908094435075885
"54d2a658273a394ad5dbacb8" 2335 34 0.985647952722668
"54d2a658273a394ad5dbacba" 2184 188 0.920741989881956
"54d2a659273a394ad5dbacbc" 2107 265 0.888279932546374
"54d2a65a273a394ad5dbacbe" 2229 143 0.939713322091062
"54d2a65a273a394ad5dbacc0" 2337 35 0.985244519392917
"54d2a665273a394ad5dbacd4" 2319 50 0.97889404812157
"54d2a667273a394ad5dbacd6" 1941 431 0.818296795952782
"54d2a668273a394ad5dbacd8" 2194 178 0.92495784148398
"54d2a66c273a394ad5dbacde" 2091 281 0.881534569983137
"54d2a670273a394ad5dbace6" 2183 189 0.920320404721754
"54d2a673273a394ad5dbacea" 2193 179 0.924536256323777
"54d2a674273a394ad5dbacec" 2221 151 0.936340640809443
"54d2a676273a394ad5dbacf0" 2127 245 0.896711635750422
"54d2a679273a394ad5dbacf4" 2322 50 0.978920741989882
"54d2a67e273a394ad5dbacfe" 1996 376 0.841483979763912
"54d2a67f273a394ad5dbad00" 1774 598 0.747892074198988
"54d2a680273a394ad5dbad02" 2330 42 0.982293423271501
"54d2a681273a394ad5dbad04" 2203 169 0.928752107925801
"54d2a682273a394ad5dbad06" 2173 199 0.91610455311973
"54d2a690273a394ad5dbad14" 2236 136 0.942664418212479
"54d2a694273a394ad5dbad16" 1972 400 0.831365935919056
"54d2a695273a394ad5dbad18" 2217 155 0.934654300168634
"54d2a696273a394ad5dbad1a" 2246 126 0.946880269814503
"54d2a696273a394ad5dbad1c" 2012 360 0.84822934232715
"54d2a697273a394ad5dbad1e" 2018 354 0.850758853288364
"54d2a69a273a394ad5dbad24" 994 209 0.826267664172901
"54d2a69c273a394ad5dbad28" 2185 187 0.921163575042159
"54d2a69d273a394ad5dbad2a" 2185 187 0.921163575042159
"54d2a69e273a394ad5dbad2c" 2224 148 0.937605396290051
"54d2a69f273a394ad5dbad2e" 2019 353 0.851180438448567
"54d2a6a3273a394ad5dbad34" 2236 136 0.942664418212479
"54d2a6ac273a394ad5dbad42" 2302 70 0.970489038785835
"54d2a6b0273a394ad5dbad46" 1961 411 0.82672849915683
"54d2a6b2273a394ad5dbad48" 2212 160 0.932546374367622
"54d2a6b3273a394ad5dbad4a" 1905 467 0.803119730185497
"54d2a6b4273a394ad5dbad4c" 2199 173 0.927065767284992
"54d2a6bb273a394ad5dbad52" 2054 318 0.865935919055649
"54d2a70f273a394ad5dbb872" 2307 62 0.973828619670747
"54d2a712273a394ad5dbb874" 2206 166 0.930016863406408
"54d2a714273a394ad5dbb876" 2325 47 0.980185497470489
"54d2a716273a394ad5dbb878" 2153 219 0.907672849915683
"54d2a71b273a394ad5dbb87a" 2315 57 0.975969645868465
"54d2a71c273a394ad5dbb87c" 2281 91 0.961635750421585
"54d2a71d273a394ad5dbb87e" 2295 77 0.967537942664418
